state,covered,near_death,true_value_pi_beta,n_actions_visited,total_samples,min_samples_per_visited_action,mean_samples_per_visited_action,max_samples_per_visited_action
627,True,False,0.2550014577007661,2,14,1,7.0,13
628,True,False,0.2728198202423597,3,659,2,219.66666666666666,622
629,True,False,0.2974527198570219,4,4109,2,1027.25,3575
630,False,True,-1.0000001261939055,0,0,0,0.0,0
631,False,True,-0.9999189383677907,0,0,0,0.0,0
632,False,True,-0.9999175572385506,0,0,0,0.0,0
633,False,True,-0.9999187150360794,0,0,0,0.0,0
634,False,True,-0.9986496668717804,0,0,0,0.0,0
635,False,True,-0.9995204840691896,0,0,0,0.0,0
636,False,True,-0.99920143042403,0,0,0,0.0,0
637,False,True,-0.9999995531939934,0,0,0,0.0,0
638,False,True,-0.9999996222508658,0,0,0,0.0,0
639,False,True,-0.9999995864532158,0,0,0,0.0,0
640,False,True,-0.9999990027722803,0,0,0,0.0,0
641,False,True,-0.9999990081032886,0,0,0,0.0,0
642,False,True,-0.9952741502493342,0,0,0,0.0,0
643,False,True,-0.9951747374542111,0,0,0,0.0,0
644,False,True,-0.9949618846174972,0,0,0,0.0,0
645,False,True,-0.9947997418359277,0,0,0,0.0,0
646,False,True,-0.9944899199025867,0,0,0,0.0,0
647,False,True,-0.993947561164041,0,0,0,0.0,0
648,False,False,-0.40895409370253977,0,0,0,0.0,0
649,False,True,-0.9281224013495981,0,0,0,0.0,0
650,False,False,-0.8368431361093588,0,0,0,0.0,0
651,False,False,-0.5910609106658187,0,0,0,0.0,0
652,False,False,0.02675941209604474,0,0,0,0.0,0
653,False,False,0.11653270364198673,0,0,0,0.0,0
654,True,False,0.4069553408565288,1,8,8,8.0,8
655,True,False,0.4115778144554178,2,17,7,8.5,10
656,True,False,0.09053197793320503,2,170,2,85.0,168
657,True,False,0.10065946808032436,3,232,2,77.33333333333333,171
658,True,False,0.1673471812700191,2,121,53,60.5,68
659,True,False,0.3187075904147622,4,4603,3,1150.75,4234
660,False,True,-0.9999999907050562,0,0,0,0.0,0
661,False,True,-0.9999197404198101,0,0,0,0.0,0
662,False,True,-0.9999012147778883,0,0,0,0.0,0
663,False,True,-0.9998992239098321,0,0,0,0.0,0
664,False,True,-0.9998920715397153,0,0,0,0.0,0
665,False,True,-0.9999801445761025,0,0,0,0.0,0
666,False,True,-0.9999983448245524,0,0,0,0.0,0
667,False,True,-0.9999996269251356,0,0,0,0.0,0
668,False,True,-0.9999996355766828,0,0,0,0.0,0
669,False,True,-0.9999990603403258,0,0,0,0.0,0
670,False,True,-0.9999989953471152,0,0,0,0.0,0
671,False,True,-0.9999990344849385,0,0,0,0.0,0
672,False,True,-0.9953285351892454,0,0,0,0.0,0
673,False,False,-0.6420985015320531,0,0,0,0.0,0
674,False,False,-0.6181466094119211,0,0,0,0.0,0
675,False,False,-0.6085758628441864,0,0,0,0.0,0
676,False,False,-0.5754800393442798,0,0,0,0.0,0
677,False,False,-0.5353609131856012,0,0,0,0.0,0
678,False,False,-0.4190804802999651,0,0,0,0.0,0
679,False,True,-0.9610029544824973,0,0,0,0.0,0
680,False,True,-0.9614849782553354,0,0,0,0.0,0
681,False,False,-0.7213436883858892,0,0,0,0.0,0
682,False,False,0.05054525301406388,0,0,0,0.0,0
683,True,False,0.138534109663883,1,1,1,1.0,1
684,True,False,0.42395007190259154,2,32,1,16.0,31
685,True,False,0.46363008856703525,2,40,16,20.0,24
686,True,False,0.6142928189132256,1,4,4,4.0,4
687,True,False,0.39005873826602416,3,4617,1,1539.0,3208
688,True,False,0.3568815001882006,3,7004,57,2334.6666666666665,4562
689,True,False,0.3365609470067174,4,6625,1,1656.25,5652
690,False,True,-0.9999996255296015,0,0,0,0.0,0
691,False,True,-0.9999996107478742,0,0,0,0.0,0
692,False,True,-0.9999994160063443,0,0,0,0.0,0
693,False,True,-0.9999772627040474,0,0,0,0.0,0
694,False,True,-0.9999812562570858,0,0,0,0.0,0
695,False,True,-0.9999804137288807,0,0,0,0.0,0
696,False,True,-0.9999983278526839,0,0,0,0.0,0
697,False,True,-0.9999996108180645,0,0,0,0.0,0
698,False,True,-0.9999988666385503,0,0,0,0.0,0
699,False,True,-0.9999990107539078,0,0,0,0.0,0
700,False,True,-0.9999990293804606,0,0,0,0.0,0
701,False,True,-0.9999990819832603,0,0,0,0.0,0
702,False,True,-0.9954553351386207,0,0,0,0.0,0
703,False,False,-0.6456354110581239,0,0,0,0.0,0
704,False,False,-0.6415512903655195,0,0,0,0.0,0
705,False,True,-0.9342398551612328,0,0,0,0.0,0
706,False,True,-0.9331357333616023,0,0,0,0.0,0
707,False,True,-0.9447783514340671,0,0,0,0.0,0
708,False,True,-0.9468373738865927,0,0,0,0.0,0
709,False,True,-0.9508634713049732,0,0,0,0.0,0
710,False,True,-0.9615468882488694,0,0,0,0.0,0
711,False,False,-0.8098692884190226,0,0,0,0.0,0
712,True,False,0.32941278797126883,1,1,1,1.0,1
713,True,False,0.425160992342733,2,36,1,18.0,35
714,True,False,0.47496731223382804,3,43,1,14.333333333333334,38
715,True,False,0.6343171315506048,2,101,4,50.5,97
716,True,False,0.6320058340608474,3,129,1,43.0,82
717,True,False,0.42665555930529475,2,3609,120,1804.5,3489
718,True,False,0.17064257445384357,3,725,6,241.66666666666666,423
719,True,False,-0.1682184771377034,4,1490,1,372.5,981
720,False,True,-0.9999994261777256,0,0,0,0.0,0
721,False,True,-0.9999993773674041,0,0,0,0.0,0
722,False,True,-0.9999993745428554,0,0,0,0.0,0
723,False,True,-0.9999774557248959,0,0,0,0.0,0
724,False,True,-0.9999950535448869,0,0,0,0.0,0
725,False,True,-0.9999961334682457,0,0,0,0.0,0
726,False,True,-0.9999975615425787,0,0,0,0.0,0
727,False,True,-0.9999995326139319,0,0,0,0.0,0
728,False,True,-0.9999988652527966,0,0,0,0.0,0
729,False,True,-0.9989692938647796,0,0,0,0.0,0
730,False,True,-0.9984856091275902,0,0,0,0.0,0
731,False,True,-0.9983925375458742,0,0,0,0.0,0
732,False,True,-0.9983111359514895,0,0,0,0.0,0
733,False,True,-0.9983429893521341,0,0,0,0.0,0
734,False,False,-0.7937654933680203,0,0,0,0.0,0
735,False,False,-0.7995387163288301,0,0,0,0.0,0
736,False,True,-0.9178369408204996,0,0,0,0.0,0
737,False,True,-0.9262508959464204,0,0,0,0.0,0
738,False,True,-0.9268140879974938,0,0,0,0.0,0
739,False,True,-0.9268313065081785,0,0,0,0.0,0
740,False,True,-0.9118463251165956,0,0,0,0.0,0
741,False,True,-0.906871164631976,0,0,0,0.0,0
742,True,False,0.0810365451949245,1,27,27,27.0,27
743,True,False,0.08614897024495514,1,27,27,27.0,27
744,True,False,0.6390649694491789,2,32,8,16.0,24
745,True,False,0.6636396690394989,3,246,1,82.0,233
