state,row,col,best_action,best_q,n_near_optimal,on_shortest_path
581,19,11,3,-0.17990524717437553,1,False
582,19,12,1,-0.14739781808320584,1,False
583,19,13,3,-0.1171442968033546,3,False
584,19,14,0,-0.08723928904714393,1,False
585,19,15,3,0.01367086271121205,1,True
586,19,16,0,0.047508431269695214,1,True
587,19,17,2,0.013717773415402859,1,False
588,19,18,1,0.1886278964041351,1,True
589,19,19,1,0.22528789724251067,1,True
590,19,20,1,0.262516501659277,1,False
591,19,21,2,0.2262677491334983,1,False
592,19,22,3,0.3380491823693888,2,False
593,19,23,1,0.3736358209858308,1,False
594,19,24,1,0.41239767840751346,1,True
595,19,25,1,0.4467080882150096,1,True
596,19,26,2,0.4084655452493065,1,False
597,19,27,2,0.3706492515786166,1,False
598,19,28,3,0.33516450014734717,1,False
599,19,29,1,0.37255868894416116,1,True
600,20,0,1,-0.6976356062576785,1,False
601,20,1,2,-0.7223320783870835,2,False
602,20,2,1,-0.7681798982199913,1,False
603,20,3,3,-0.6386423338797567,1,False
604,20,4,0,-0.6121477109391467,1,False
605,20,5,0,-0.5855941143574559,1,False
606,20,6,3,-0.6761126842396716,1,False
607,20,7,0,-0.6500631264518771,1,False
608,20,8,3,-0.3013883499861831,1,False
609,20,9,3,-0.2719194812991635,1,False
610,20,10,3,-0.2413323563338213,2,False
611,20,11,0,-0.21117433552782375,1,False
612,20,12,1,-0.11536879194160124,2,False
613,20,13,3,-0.08790311883062409,1,False
614,20,14,3,-0.0545703714912678,1,False
615,20,15,3,-0.02060626666891214,1,False
616,20,16,0,0.012846694213058028,1,False
617,20,17,0,-0.0188728203589081,2,False
618,20,18,3,0.22438034955730227,1,True
619,20,19,3,0.26152381147847636,1,True
620,20,20,3,0.2991229134983223,1,True
621,20,21,1,0.33715492616880094,2,True
622,20,22,1,0.3700502939123013,1,True
623,20,23,3,0.4114377620348237,1,False
624,20,24,1,0.450684393651966,2,True
625,20,25,1,0.4864133445251547,1,True
626,20,26,2,0.4477302566449164,1,False
627,20,27,3,0.33620483494404835,1,False
628,20,28,3,0.37263622817303055,1,False
629,20,29,1,0.41140972027123063,1,True
630,21,0,1,-0.6718262897164544,1,False
631,21,1,3,-0.768824247790418,1,False
632,21,2,1,-0.743808398337053,1,False
633,21,3,2,-0.7681798982199913,1,False
634,21,4,0,-0.6386442817628568,1,False
635,21,5,1,-0.6930167736731867,1,False
636,21,6,0,-0.7010019523838936,2,False
637,21,7,3,-0.5854058350601892,1,False
638,21,8,3,-0.5590384404116517,1,False
639,21,9,1,-0.5309379717593624,1,False
640,21,10,3,-0.4468742175642225,1,False
641,21,11,1,-0.41822843563447015,1,False
642,21,12,1,-0.0837452537837066,1,False
643,21,13,2,-0.11453306686604313,2,False
644,21,14,0,-0.08783692540382532,1,False
645,21,15,3,-0.11537173341485174,2,False
646,21,16,3,-0.08461574524386777,1,False
647,21,17,0,-0.051948474422362785,1,False
648,21,18,0,0.1886046508420982,1,False
649,21,19,3,0.2992849831423579,1,False
650,21,20,3,0.33630258621302844,1,False
651,21,21,1,0.3737355226456021,2,True
652,21,22,1,0.40860523882244243,1,True
653,21,23,0,0.37547302498079466,2,False
654,21,24,1,0.48949575345238394,2,True
655,21,25,1,0.5275692675369756,1,True
656,21,26,0,0.409478330993235,1,False
657,21,27,2,0.3717240843025338,1,False
658,21,28,0,0.3371297180809473,2,False
659,21,29,1,0.45076031176179876,1,True
660,22,0,1,-0.645705058280767,1,False
661,22,1,0,-0.7929255251569837,1,False
662,22,2,3,-0.7171772789979254,1,False
663,22,3,3,-0.691529069973995,1,False
664,22,4,0,-0.6649342837604769,1,False
665,22,5,3,-0.667608676008586,1,False
666,22,6,3,-0.6408251675008692,1,False
667,22,7,3,-0.61365031909086,1,False
668,22,8,0,-0.5861412911146437,1,False
669,22,9,3,-0.5032163153230527,1,False
670,22,10,0,-0.4752021762637373,1,False
671,22,11,1,-0.38926125163619907,1,False
672,22,12,1,-0.050212926832728,1,False
673,22,13,3,-0.011038101695760381,2,False
674,22,14,3,0.0208268945669452,2,False
675,22,15,3,0.05385075061879166,1,False
676,22,16,1,0.08809137081368232,2,False
677,22,17,3,0.11835837517652315,1,False
678,22,18,0,0.15322890983089993,1,False
679,22,19,0,0.26267810716082135,1,False
680,22,20,2,0.22647747651500563,1,False
681,22,21,1,0.41163469238689204,2,True
682,22,22,3,0.44870716079100154,1,True
683,22,23,3,0.4884528749811556,1,True
684,22,24,3,0.5276210269615191,1,True
685,22,25,1,0.5682316985973153,1,True
686,22,26,1,0.6104821437381998,1,False
687,22,27,1,0.568249984818963,1,True
688,22,28,2,0.5286588128261824,1,True
689,22,29,2,0.489506181548323,1,True
690,23,0,3,-0.6192901525802748,1,False
691,23,1,3,-0.5925788586787902,1,False
692,23,2,1,-0.5655678666642951,1,False
693,23,3,0,-0.7171724235669944,1,False
694,23,4,3,-0.7189627070935363,1,False
695,23,5,0,-0.6934844524517914,1,False
696,23,6,0,-0.6663090976385859,1,False
697,23,7,0,-0.6401278165446307,1,False
698,23,8,1,-0.2701057598922048,1,False
699,23,9,2,-0.300395021417252,1,False
700,23,10,2,-0.3303482115479377,1,False
701,23,11,2,-0.3599690591299526,1,False
702,23,12,1,-0.017094940675251132,1,False
703,23,13,3,0.01761840963635114,1,False
704,23,14,1,0.05134533592827936,1,False
705,23,15,3,0.08819760574951083,1,False
706,23,16,3,0.12192075732744706,1,False
707,23,17,1,0.1578379103616202,1,False
708,23,18,2,0.1245512820234264,2,False
709,23,19,3,0.1553909959439626,1,False
710,23,20,0,0.19068140585821092,1,False
711,23,21,3,0.4489121237622283,1,True
712,23,22,3,0.4884597579983342,1,True
713,23,23,3,0.5286139700734973,1,True
714,23,24,3,0.5693163598395717,1,True
715,23,25,1,0.609393398054266,2,True
716,23,26,1,0.6499086481743254,1,True
