state,covered,critic_pred,true_value,abs_error,signed_error
137,False,-0.16304144263267517,-0.3162696919544403,0.15322824932176515,0.15322824932176515
138,False,-0.23794639110565186,-0.488632127332373,0.25068573622672113,0.25068573622672113
139,False,-0.22320914268493652,-0.9997879980004695,0.776578855315533,0.776578855315533
140,True,-0.20781147480010986,-0.9999946776215909,0.792183202821481,0.792183202821481
141,True,-0.07105878740549088,-1.0000005203976636,0.9289417329921728,0.9289417329921728
142,True,-0.20498669147491455,-1.0000006407509217,0.7950139492760071,0.7950139492760071
143,True,-0.3037142753601074,-1.0000008833452654,0.696286607985158,0.696286607985158
144,False,0.09830592572689056,-1.0000001598470125,1.098306085573903,1.098306085573903
145,False,-0.01781732589006424,-1.0000001932483364,0.9821828673582722,0.9821828673582722
146,False,0.09850283712148666,-1.0000003234831933,1.09850316060468,1.09850316060468
147,False,0.2865365147590637,-1.000000378379493,1.2865368931385568,1.2865368931385568
148,False,0.3264661729335785,-1.0000004655505381,1.3264666384841166,1.3264666384841166
149,False,0.26651379466056824,-1.0000005209939804,1.2665143156545486,1.2665143156545486
150,False,-0.832445502281189,-0.9999999364213891,0.1675544341402001,0.1675544341402001
151,False,-0.7639427185058594,-0.9999999647073337,0.23605724620147428,0.23605724620147428
152,False,-0.8206871747970581,-0.9999995789845973,0.17931240418753924,0.17931240418753924
