state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,n_pi_d_star_action,n_best_config_action,pair_min_samples,pi_d_star_action_cross,pi_d_star_V_cross,argmax_disagree_cross,rank_correlation_cross,value_gap_cross,is_disagreement_cross,severity_raw_cross,statistically_significant_cross,is_disagreement_strict,references_agree_on_action,severity_raw_strict,severity_strict
50,1,20,False,0,-50.0,0,3,1,,-2.494375884342469,0.06582205808735807,-47.50562411565753,0,0.0,0.0,0,-1.556684715525908,-1.3922202587127686,0.16446445681313948,0,0,0,0,-50.0,1,,-47.50562411565753,0,0.0,0,0,1,0.0,0.0
51,1,21,False,0,-50.0,0,2,1,,-2.512048318470671,0.05851904437037644,-47.48795168152933,0,0.0,0.0,0,-1.5882362682543376,-1.6988446712493896,0.11060840299505204,0,0,0,0,-50.0,1,,-47.48795168152933,0,0.0,0,0,1,0.0,0.0
52,1,22,False,0,-50.0,0,2,1,,-2.5272913635389633,0.04298277366364645,-47.472708636461036,0,0.0,0.0,0,-1.852401915961498,-1.841813087463379,0.01058882849811904,0,0,0,0,-50.0,1,,-47.472708636461036,0,0.0,0,0,1,0.0,0.0
53,1,23,False,0,-50.0,0,1,1,,-2.6005831965056876,0.0025222210795766697,-47.39941680349431,0,0.0,0.0,0,-2.106161619704718,-1.8678994178771973,0.23826220182752067,0,0,0,0,-50.0,1,,-47.39941680349431,0,0.0,0,0,1,0.0,0.0
54,1,24,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.982997074985227,-2.2583529949188232,0.7246440800664038,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
55,1,25,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9838632948027657,-2.1632206439971924,0.8206426508055733,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
56,1,26,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9833446602039846,-2.1164052486419678,0.8669394115620168,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
57,1,27,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9833549110458324,-2.1548562049865723,0.8284987060592601,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
58,1,28,False,0,-50.0,0,1,1,,-1.8427214535362686,0.09427989254844468,-48.15727854646373,0,0.0,0.0,0,-2.6552664560729036,-3.2076666355133057,0.5524001794404021,0,0,0,0,-50.0,1,,-48.15727854646373,0,0.0,0,0,1,0.0,0.0
59,1,29,False,0,-50.0,0,1,1,,-1.308822377649808,0.05639068015247879,-48.69117762235019,0,0.0,0.0,0,-2.027427301483758,-3.3994269371032715,1.3719996356195137,0,0,0,0,-50.0,1,,-48.69117762235019,0,0.0,0,0,1,0.0,0.0
60,2,0,False,0,-50.0,0,0,0,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-3.000008477066501,-3.145261526107788,0.14525304904128689,0,0,0,0,-50.0,0,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
61,2,1,True,1,-2.9999989435144254,3,3,0,0.7745966692414834,-2.598060975426111,2.037621039635e-16,-0.4019379680883146,0,0.0,0.0,0,-3.0000092180969493,-3.090958833694458,0.09094961559750869,15,15,15,3,-3.0010010872519226,0,0.7745966692414834,-0.4029401118258118,0,0.0,0,0,1,0.0,0.0
62,2,2,True,3,-2.999998943514425,0,0,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,-0.40193796808831417,0,0.0,0.0,0,-3.000009226500773,-3.0438239574432373,0.04381473094246413,24,24,24,1,-3.0001526221821084,1,0.19999999999999998,-0.4020916467559976,0,0.0,0,0,0,0.0,0.0
63,2,3,True,4,-0.8974787864567646,1,1,0,0.19999999999999998,-2.537211532119141,0.060849443306970445,1.6397327456623763,0,0.0,0.0,0,-2.9343281603760976,-2.8856201171875,0.04870804318859756,717,717,717,1,-1.0593138701855407,0,0.316227766016838,1.4778976619336002,0,0.0,0,0,1,0.0,0.0
64,2,4,True,2,-0.8209024885996296,3,3,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,1.7771584868264814,0,0.0,0.0,0,-2.9857756957865407,-2.74794864654541,0.23782704924113052,354,354,354,3,-0.9929483429590857,0,0.9486832980505139,1.605112632467025,0,0.0,0,0,1,0.0,0.0
65,2,5,True,3,-0.7950151191147465,1,1,0,1.0,-2.598060975426111,2.037621039635e-16,1.8030458563113643,0,0.0,0.0,0,-2.989546177776133,-2.7269413471221924,0.2626048306539408,935,935,935,1,-0.9698346722125121,0,1.0,1.6282263032135988,0,0.0,0,0,1,0.0,0.0
66,2,6,True,2,-0.8181587662548174,2,2,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,1.7799022091712935,0,0.0,0.0,0,-2.989666606871475,-2.7255213260650635,0.26414528080641153,398,398,398,2,-0.991764624443541,0,0.9486832980505139,1.6062963509825698,0,0.0,0,0,1,0.0,0.0
67,2,7,True,4,-0.8873069133936018,3,3,0,0.316227766016838,-2.598060975426111,2.037621039635e-16,1.710754062032509,0,0.0,0.0,0,-2.9933061400194734,-2.785172939300537,0.20813320071893626,187,187,187,3,-1.0572783262619767,0,0.316227766016838,1.540782649164134,0,0.0,0,0,1,0.0,0.0
68,2,8,True,4,-0.8634519768650171,3,3,0,0.19999999999999998,-2.598060975426111,2.037621039635e-16,1.7346089985610937,0,0.0,0.0,0,-2.9930333332015393,-2.63729190826416,0.35574142493737915,212,212,212,3,-1.0355102094278745,0,0.316227766016838,1.5625507659982363,0,0.0,0,0,1,0.0,0.0
69,2,9,True,3,-0.8393775733285986,1,1,0,0.39999999999999997,-2.598060975426111,2.037621039635e-16,1.7586834020975122,0,0.0,0.0,0,-2.992370099475787,-2.631530523300171,0.360839576175616,960,960,960,1,-1.013469631980574,0,0.39999999999999997,1.5845913434455368,0,0.0,0,0,1,0.0,0.0
70,2,10,True,3,-0.9107050771468062,3,3,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,1.6873558982793047,0,0.0,0.0,0,-2.994187468849553,-2.4216790199279785,0.5725084489215746,47,47,47,3,-1.1476579395368571,0,0.9486832980505139,1.4504030358892537,0,0.0,0,0,1,0.0,0.0
