state,row,col,covered,true_value_pi_beta,near_death,critic_pred_pi_beta,critic_abs_error,pi_d_star_action,best_config_action,argmax_agree,rank_correlation
168,5,18,True,-0.2147357359382112,False,-0.2854750454425812,0.07073930950436999,1,1,1,0.9486832980505139
169,5,19,True,-0.1608748996635731,False,-0.10473886877298355,0.05613603089058955,3,3,1,1.0
170,5,20,True,-0.13967594257689717,False,-0.11656361073255539,0.023112331844341777,1,1,1,1.0
171,5,21,True,-1.0000007036772063,True,-0.26761382818222046,0.7323868754949858,3,3,1,0.7745966692414834
172,5,22,True,-1.000000758332976,True,-0.14713585376739502,0.852864904565581,1,0,0,-0.21081851067789195
173,5,23,True,-1.000001060738978,True,-0.2467372715473175,0.7532637891916605,0,0,1,0.39999999999999997
174,5,24,False,-1.0000001146326025,True,0.007285319268703461,1.007285433901306,0,3,0,
175,5,25,False,-1.0000000730321301,True,0.06519153714179993,1.06519161017393,0,1,0,
176,5,26,False,-1.000000002807264,True,0.18614965677261353,1.1861496595798775,0,3,0,
177,5,27,False,-0.9999999815781934,True,0.24520069360733032,1.2452006751855236,0,1,0,
178,5,28,False,-1.000000386184783,True,0.324211984872818,1.324212371057601,0,3,0,
179,5,29,False,-1.000000489395942,True,0.13668128848075867,1.1366817778767007,0,0,1,
180,6,0,False,-0.999999933709104,True,-0.8901050686836243,0.10989486502547974,0,0,1,
181,6,1,False,-0.9999999989883943,True,-0.7846021056175232,0.21539789337087112,0,0,1,
182,6,2,False,-0.9999992651057036,True,-0.8810638785362244,0.11893538656947922,0,0,1,
183,6,3,True,-0.9740815851491638,True,-0.7019159197807312,0.27216566536843256,0,3,0,0.21081851067789195
184,6,4,True,-0.9772330627656115,True,-0.8990041613578796,0.07822890140773187,2,2,1,0.316227766016838
185,6,5,True,-0.9994459766033911,True,-0.7233418822288513,0.27610409437453975,1,0,0,-0.10540925533894598
186,6,6,True,-0.9997574211519527,True,-0.7508584856987,0.2488989354532527,2,1,0,0.39999999999999997
187,6,7,True,-0.9997641883148787,True,-0.8018631935119629,0.1979009948029158,2,2,1,0.316227766016838
188,6,8,True,-0.9995201281080273,True,-0.710310697555542,0.28920943055248527,1,3,0,0.7378647873726218
189,6,9,True,-0.9994933262088975,True,-0.729401171207428,0.27009215500146955,2,2,1,0.7999999999999999
190,6,10,True,-0.9996861452352495,True,-0.5157756209373474,0.48391052429790204,1,1,1,0.632455532033676
191,6,11,True,-0.9996894601192647,True,-0.5416077971458435,0.45808166297342123,2,2,1,0.9486832980505139
192,6,12,True,-0.9997033499531284,True,-0.534340500831604,0.46536284912152437,1,3,0,0.7378647873726218
193,6,13,True,-0.9997121634344842,True,-0.4208984673023224,0.5788136961321618,2,2,1,1.0
194,6,14,True,-0.24089841535797948,False,-0.3429866135120392,0.1020881981540597,3,3,1,0.19999999999999998
195,6,15,True,-0.23181905513651094,False,-0.32410213351249695,0.09228307837598601,3,3,1,0.7999999999999999
196,6,16,True,-0.22305595419780913,False,-0.25301212072372437,0.029956166525915234,3,3,1,0.7999999999999999
197,6,17,True,-0.21401833493677103,False,-0.29625198245048523,0.0822336475137142,1,3,0,0.7378647873726218
