state,row,col,covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error
80,2,20,True,-0.9999989913057303,3,3,0,0.9486832980505139,-0.8660203251420379,0.0,-0.13397866616369247,0,0.0,0.0,0,-0.9999789406738391,-0.1298694908618927,0.8701094498119464
81,2,21,True,-0.9999989913057302,0,1,1,-0.4472135954999579,-0.8660203251420379,0.0,-0.13397866616369236,0,0.0,0.0,0,-0.9999679500563544,-0.23616501688957214,0.7638029331667823
82,2,22,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000005361611555,-0.14540666341781616,0.8545938727433393
83,2,23,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000004358700023,-0.08654437214136124,0.9134560637286411
84,2,24,False,-50.0,0,0,0,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.9999981546191562,0.10176854580640793,1.1017667004255642
85,2,25,False,-50.0,0,3,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.9999957812993544,0.006765678524971008,1.0067614598243253
86,2,26,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.999995696538019,-0.035835690796375275,0.9641600057416437
87,2,27,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000001584103644,0.2692367136478424,1.2692368720582068
88,2,28,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000002568746984,0.07722624391317368,1.077226500787872
89,2,29,False,-50.0,0,3,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000007430990348,0.3052893579006195,1.3052901009996543
90,3,0,False,-50.0,0,3,1,,-1.0,0.0,-49.0,0,0.0,0.0,0,-0.9999999747110426,-0.8138203024864197,0.18617967222462295
92,3,2,False,-50.0,0,0,0,,-0.9598060975426113,0.008771028594602603,-49.04019390245739,0,0.0,0.0,0,-0.9999997901617488,-0.7557011246681213,0.24429866549362744
93,3,3,True,-0.09054508309022867,3,3,0,0.19999999999999998,-0.1599905112657815,0.029491537402344573,0.06944542817555284,0,0.0,0.0,0,-0.6269368354096164,-0.626750648021698,0.00018618738791842393
94,3,4,True,-0.08003926671275924,0,0,0,0.7999999999999999,-0.16826327964018062,0.032927387483901935,0.08822401292742138,0,0.0,0.0,0,-0.6063343237987391,-0.5613827109336853,0.04495161286505378
95,3,5,True,-0.040785506470093436,3,3,0,0.316227766016838,-0.06266749914813874,0.00574689641821867,0.021881992678045303,0,0.0,0.0,0,-0.5674864417813945,-0.5043124556541443,0.06317398612725023
96,3,6,True,-0.03011387964808427,3,3,0,0.9486832980505139,-0.06738872603152207,0.01735156912388564,0.0372748463834378,0,0.0,0.0,0,-0.5624079285130568,-0.5667696595191956,0.0043617310061387915
97,3,7,True,-0.0185717396093979,3,3,0,0.7999999999999999,-0.054037382041436495,0.017329570891659055,0.03546564243203859,0,0.0,0.0,0,-0.49478268041243373,-0.5076467990875244,0.012864118675090686
98,3,8,True,-0.007567816864286176,3,3,0,0.9486832980505139,-0.053640525233565245,0.02073725980584083,0.04607270836927907,0,0.0,0.0,0,-0.4873227263032924,-0.5113561749458313,0.024033448642538924
99,3,9,True,0.0039248652068965325,3,3,0,0.316227766016838,-0.09228890578510134,0.03736362477644778,0.09621377099199786,0,0.0,0.0,0,-0.46676626537975235,-0.4543457329273224,0.012420532452429967
100,3,10,True,0.015557851749200068,3,3,0,1.0,-0.05841320419504555,0.03137514067970712,0.07397105594424562,0,0.0,0.0,0,-0.46019392251431634,-0.4946437478065491,0.03444982529223273
