state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,total_samples,log_coverage,p_beta_star,p_theta_star,delta_p_star,prior_error,C
233,7,23,True,2,0.3760569759903895,1,3,1,0.2108185106778919,0.2853319909275613,0.0334774423372411,0.0907249850628282,1,0.0907249850628282,0.1042330795457177,1,-0.0552370626554147,0.0228808298707008,0.0781178925261155,4,1.6094379124341003,0.4086812734603882,0.2615830898284912,-0.14709818363189697,0.5913187265396118,-0.24876293787060205
234,7,24,True,1,0.3903039131595289,1,1,0,0.7745966692414834,0.3337952976468238,0.0233108483341956,0.056508615512705,0,0.0,0.0,0,-0.0454446537467388,0.026494987308979,0.0719396410557179,5,1.791759469228055,0.9669737815856934,0.9997537732124329,0.0327799916267395,0.03302621841430664,0.9925445055659029
243,8,3,True,1,-1.9004613327969548,3,2,1,0.2581988897471611,-0.7698566638722769,0.0186913937158083,-1.1306046689246778,0,0.0,0.0,0,-0.9997618020297712,-0.7692127823829651,0.230549019646806,1,0.6931471805599453,0.9914295077323914,0.3165534734725952,-0.6748760342597961,0.008570492267608643,
244,8,4,True,1,-0.6103068488382386,3,3,0,0.7745966692414834,-0.5766687148121536,0.0298312228171478,-0.0336381340260849,0,0.0,0.0,0,-0.9997589369233212,-0.7552013993263245,0.2445575375969967,28,3.367295829986474,0.9920209050178528,0.6662108302116394,-0.3258100748062134,0.007979094982147217,
245,8,5,True,3,-0.5711823552652314,3,3,0,0.1999999999999999,-0.5429923066360921,0.0297815929970881,-0.0281900486291393,0,0.0,0.0,0,-0.9997561493284176,-0.6959783434867859,0.3037778058416318,1166,7.062191632286556,0.998369038105011,0.5267068147659302,-0.4716622233390808,0.0016309618949890137,
246,8,6,True,2,-0.5660876753383222,0,0,0,0.632455532033676,-0.5672979350233496,0.0283782347442726,0.0012102596850274,0,0.0,0.0,0,-0.9997619868713408,-0.7315372228622437,0.2682247640090972,3263,8.090708716083997,0.6605534553527832,0.3932569622993469,-0.2672964930534363,0.3394465446472168,-0.7874479716128343
247,8,7,True,4,-0.571987838551391,0,0,0,0.316227766016838,-0.5762344912928341,0.0288576355298737,0.004246652741443,0,0.0,0.0,0,-0.999770680563573,-0.840965986251831,0.1588046943117419,2303,7.742402021815782,0.8475466966629028,0.9808855652809143,0.13333886861801147,0.15245330333709717,0.8746210524751911
248,8,8,True,3,-0.7956462071081218,1,0,1,0.3999999999999999,-0.8660203251420378,1.2490984923352586e-17,0.0703741180339159,1,0.0703741180339159,0.0808521603823808,1,-0.9995389822551144,-0.8103194236755371,0.1892195585795772,67,4.219507705176107,0.18426236510276794,0.06538618355989456,-0.11887618154287338,0.8157376348972321,-0.14572845049358252
249,8,9,True,1,-0.8935873181766275,3,2,1,0.2581988897471611,-0.8660203251420378,1.2490984923352586e-17,-0.0275669930345897,0,0.0,0.0,0,-0.9993832436608846,-0.566327691078186,0.4330555525826985,87,4.477336814478207,0.9987050294876099,0.31763625144958496,-0.6810687780380249,0.0012949705123901367,
250,8,10,True,3,-0.8947685355341032,2,2,0,0.7999999999999999,-0.8660203251420378,1.2490984923352586e-17,-0.0287482103920654,0,0.0,0.0,0,-0.9993742459888656,-0.8273014426231384,0.172072803365727,123,4.820281565605037,0.626405656337738,0.8104283213615417,0.1840226650238037,0.37359434366226196,0.4925734774779259
