state,row,col,covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,total_samples,log_coverage,goal_distance,start_distance,hazard_distance,local_connectivity
78,2,18,True,-0.9999989913057306,3,1,1,0.2581988897471611,0.8122952097176688,0.1141228305690523,-1.8122942010233996,0,0.0,-0.966426468003318,-0.1827185153961181,0.7837079526071998,6,1.9459101490553132,48,34,14,2
79,2,19,True,-0.9999989913057304,0,1,1,-0.1054092553389459,0.8122952097176688,0.1141228305690523,-1.8122942010233996,0,0.0,-0.97278417587355,-0.2044628262519836,0.7683213496215665,10,2.3978952727983707,49,33,13,2
80,2,20,True,-0.9999989913057304,3,3,0,0.948683298050514,-0.8660203251420379,0.0,-0.1339786661636924,0,0.0,-0.9999789406738392,-0.1298694908618927,0.8701094498119464,14,2.70805020110221,52,36,12,2
81,2,21,True,-0.9999989913057302,0,1,1,-0.4472135954999579,-0.8660203251420379,0.0,-0.1339786661636923,0,0.0,-0.9999679500563544,-0.2361650168895721,0.7638029331667823,13,2.6390573296152584,53,35,11,2
93,3,3,True,-0.0905450830902286,3,3,0,0.1999999999999999,0.9219213511809912,0.0550618414717827,-1.0124664342712195,0,0.0,-0.6269368354096164,-0.626750648021698,0.0001861873879184,4869,8.490849216076635,58,6,26,3
94,3,4,True,-0.0800392667127592,0,0,0,0.7999999999999999,0.9219213511809912,0.0550618414717827,-1.0019606178937503,0,0.0,-0.6063343237987391,-0.5613827109336853,0.0449516128650537,4891,8.495356496807062,57,7,25,3
95,3,5,True,-0.0407855064700934,3,3,0,0.316227766016838,0.9223643991626173,0.0546194290293436,-0.9631499056327106,0,0.0,-0.5674864417813945,-0.5043124556541443,0.0631739861272502,4031,8.302017809751204,54,10,22,2
96,3,6,True,-0.0301138796480842,3,3,0,0.948683298050514,0.9223643991626173,0.0546194290293436,-0.9524782788107016,0,0.0,-0.5624079285130568,-0.5667696595191956,0.0043617310061387,3929,8.276394704863307,53,11,21,3
97,3,7,True,-0.0185717396093979,3,3,0,0.7999999999999999,0.9251182651585652,0.051869756671592,-0.943690004767963,0,0.0,-0.4947826804124337,-0.5076467990875244,0.0128641186750906,2185,7.689828668736484,54,12,22,2
98,3,8,True,-0.0075678168642861,3,3,0,0.948683298050514,0.9260737466571424,0.0509158361196036,-0.9336415635214284,0,0.0,-0.4873227263032924,-0.5113561749458313,0.0240334486425389,6553,8.787830829258759,55,13,23,3
99,3,9,True,0.0039248652068965,3,3,0,0.316227766016838,0.9260737466571424,0.0509158361196036,-0.9221488814502458,0,0.0,-0.4667662653797523,-0.4543457329273224,0.0124205324524299,3587,8.185350223178686,56,14,24,3
100,3,10,True,0.0155578517492,3,3,0,1.0,0.9265587380274164,0.0504316596801919,-0.9110008862782164,0,0.0,-0.4601939225143163,-0.4946437478065491,0.0344498252922327,3560,8.177796683277778,57,15,25,2
101,3,11,True,0.0268645090349298,3,3,0,0.316227766016838,0.9265587380274164,0.0504316596801919,-0.8996942289924865,0,0.0,-0.4540806737136358,-0.4470531344413757,0.0070275392722601,3577,8.182559264068665,58,16,26,3
102,3,12,True,0.0387618829738765,1,1,0,1.0,0.928548189878707,0.0484457213038787,-0.8897863069048305,0,0.0,-0.4360337424282499,-0.4805168211460113,0.0444830787177614,3844,8.254528881939745,57,17,27,2
