state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,n_pi_d_star_action,n_best_config_action,pair_min_samples,pi_d_star_action_cross,pi_d_star_V_cross,argmax_disagree_cross,rank_correlation_cross,value_gap_cross,is_disagreement_cross,severity_raw_cross,statistically_significant_cross,is_disagreement_strict,severity_raw_strict,severity_strict,total_samples,log_coverage,goal_distance,hazard_distance,local_connectivity,action_sample_gap,log_n_best_config_action,log_pair_min_samples,pi_beta_prob_gap
530,17,20,True,2,0.1154920177633444,3,3,0,0.948683298050514,-0.2756783297635511,0.2242606658202188,0.3911703475268955,0,0.0,0.0,0,-0.7356699889854608,-0.9627475142478944,0.2270775252624335,97,97,97,3,-0.0036815517457296,0,0.948683298050514,0.2719967780178215,0,0.0,0,0,0.0,0.0,130,4.875197323201151,23,13,2,0.0,4.584967478670572,4.584967478670572,0.0
531,17,21,True,3,0.1509473235035153,1,1,0,1.0,-0.2597560254837968,0.2258880414722014,0.4107033489873122,0,0.0,0.0,0,-0.6922719924294278,-0.7247318625450134,0.0324598701155856,134,134,134,1,0.0299368340077312,0,1.0,0.2896928594915281,0,0.0,0,0,0.0,0.0,137,4.927253685157205,22,14,3,0.0,4.90527477843843,4.90527477843843,0.0
532,17,22,True,2,0.1193691261142981,1,2,1,0.7378647873726218,-0.2772496860451655,0.224111827136106,0.3966188121594637,1,0.3966188121594637,0.1362112206418674,0,-0.7389577278405826,-0.8498685359954834,0.1109108081549008,72,32,32,1,-0.0010970775967966,1,0.7378647873726218,0.2761526084483689,1,0.2761526084483689,0,1,0.2761526084483689,0.0930280739233354,104,4.653960350157523,23,15,2,-0.7939518796819107,3.4965075614664802,3.4965075614664802,-0.4060790538787842
533,17,23,True,2,0.2996715362383261,1,1,0,0.948683298050514,0.3102130330109816,0.013794934795867,-0.0105414967726555,0,0.0,0.0,0,-0.0983812461651671,-0.5225427150726318,0.4241614689074647,6,6,6,1,0.1668529158929572,0,0.948683298050514,-0.1433601171180243,0,0.0,0,0,0.0,0.0,7,2.0794415416798357,18,16,2,0.0,1.9459101490553132,1.9459101490553132,0.0
534,17,24,True,2,0.2666748215464951,2,2,0,0.948683298050514,0.1335291272853113,0.1443030847516014,0.1331456942611837,0,0.0,0.0,0,-0.1698203825934636,-0.3791085481643677,0.209288165570904,5,5,5,2,0.1307655919768757,0,0.948683298050514,-0.0027635353084356,0,0.0,0,0,0.0,0.0,6,1.9459101490553132,19,15,3,0.0,1.791759469228055,1.791759469228055,0.0
535,17,25,True,1,0.2340080740015823,2,2,0,0.7745966692414834,0.2394810911516366,0.0138660011414745,-0.0054730171500543,0,0.0,0.0,0,-0.2218193313650309,-0.4819167256355285,0.2600973942704976,1,1,1,2,0.0960754300047304,0,0.7745966692414834,-0.1434056611469062,0,0.0,0,0,0.0,0.0,1,0.6931471805599453,20,16,2,0.0,0.6931471805599453,0.6931471805599453,0.0
548,18,8,True,1,-1.442820319173299,3,3,0,0.7745966692414834,-2.15291527950732,0.1204774330208246,0.7100949603340212,0,0.0,0.0,0,-2.807628379776011,-2.3167757987976074,0.4908525809784034,2,2,2,3,-4.156942103841729,0,0.7745966692414834,-2.004026824334409,0,0.0,0,0,0.0,0.0,2,1.0986122886681098,34,8,3,0.0,1.0986122886681098,1.0986122886681098,0.0
549,18,9,True,1,-1.4270912321655065,3,3,0,0.7745966692414834,-2.093921956703324,0.1173681705289194,0.6668307245378178,0,0.0,0.0,0,-2.805055097719252,-2.4685370922088623,0.3365180055103893,2,2,2,3,-2.898681987862004,0,0.7745966692414834,-0.8047600311586796,0,0.0,0,0,0.0,0.0,2,1.0986122886681098,33,7,3,0.0,1.0986122886681098,1.0986122886681098,0.0
550,18,10,True,1,-1.4112032654909683,3,3,0,0.7745966692414834,-2.15291527950732,0.1204774330208246,0.7417120140163518,0,0.0,0.0,0,-2.7997822730388067,-2.4139037132263184,0.3858785598124883,2,2,2,3,-2.799240977940538,0,0.7745966692414834,-0.646325698433218,0,0.0,0,0,0.0,0.0,2,1.0986122886681098,32,8,2,0.0,1.0986122886681098,1.0986122886681098,0.0
551,18,11,True,1,-1.3951548143045662,3,3,0,0.7745966692414834,-2.093921956703324,0.1173681705289194,0.6987671423987578,0,0.0,0.0,0,-2.7974107698381774,-2.4870338439941406,0.3103769258440367,2,2,2,3,-2.794361092364619,0,0.7745966692414834,-0.7004391356612949,0,0.0,0,0,0.0,0.0,2,1.0986122886681098,31,9,2,0.0,1.0986122886681098,1.0986122886681098,0.0
